userId,actionName,occurrences,frequency,timespent
1,Create Stage,0.0,0.0,0.0
1,Delete Stage,0.0,0.0,0.0
1,Rename Stage,0.0,0.0,0.0
1,Search with Note,0.0,0.0,0.0
1,Search with Tag,0.0,0.0,0.0
1,Search with both Tag and Note,0.0,0.0,0.0
1,Create Note,4.0,0.06138123364587014,0.7291219234466553
1,Delete Note,1.0,0.015345308411467536,0.1371440887451172
1,Open Note,9.0,0.1381077757032078,71.078373670578
1,Edit Note,1.0,0.015345308411467536,3.935479879379273
1,Move Note,0.0,0.0,0.0
1,Drag and Drop note,3.0,0.04603592523440261,16.39874505996704
1,Open commenting in note,1.0,0.015345308411467536,13.659523010253906
1,Attach File,0.0,0.0,0.0
1,Comment in Note,2.0,0.03069061682293507,17.349236011505127
1,Invite and Add follower,2.0,0.03069061682293507,32.599592208862305
1,Invite User,0.0,0.0,0.0
1,Remove follower from note,0.0,0.0,0.0
1,Create new tag,2.0,0.03069061682293507,24.02459406852722
1,Add tag,1.0,0.015345308411467536,18.90453815460205
1,Change Tag Colour,1.0,0.015345308411467536,5.454051017761231
1,Change Note Colour,4.0,0.06138123364587014,44.38844013214111
2,Create Stage,1.0,0.015345308411467536,18.801242113113403
2,Delete Stage,1.0,0.015345308411467536,6.8631591796875
2,Rename Stage,1.0,0.015345308411467536,19.19365382194519
2,Search with Note,2.0,0.03069061682293507,18.559991121292114
2,Search with Tag,4.0,0.06138123364587014,39.67023086547852
2,Search with both Tag and Note,0.0,0.0,0.0
2,Create Note,4.0,0.06138123364587014,26.67078804969788
2,Delete Note,2.0,0.03069061682293507,7.428654909133911
2,Open Note,8.0,0.12276246729174028,150.85278797149658
2,Edit Note,3.0,0.04603592523440261,42.0685510635376
2,Move Note,0.0,0.0,0.0
2,Drag and Drop note,2.0,0.03069061682293507,30.297852993011475
2,Open commenting in note,1.0,0.015345308411467536,13.264426946640016
2,Attach File,0.0,0.0,0.0
2,Comment in Note,1.0,0.015345308411467536,23.63905906677246
2,Invite and Add follower,1.0,0.015345308411467536,8.588480949401855
2,Invite User,0.0,0.0,0.0
2,Remove follower from note,0.0,0.0,0.0
2,Create new tag,3.0,0.04603592523440261,32.67348599433899
2,Add tag,2.0,0.03069061682293507,15.390009880065918
2,Change Tag Colour,2.0,0.03069061682293507,35.00678610801697
2,Change Note Colour,7.0,0.10741715888027276,90.25700807571413
3,Create Stage,1.0,0.015345308411467536,22.79824090003968
3,Delete Stage,0.0,0.0,0.0
3,Rename Stage,0.0,0.0,0.0
3,Search with Note,3.0,0.04603592523440261,14.943713903427124
3,Search with Tag,14.0,0.2148343177605455,91.52611947059631
3,Search with both Tag and Note,2.0,0.03069061682293507,6.610973119735718
3,Create Note,10.0,0.15345308411467534,13.327739238739014
3,Delete Note,7.0,0.10741715888027276,0.2854230403900146
3,Open Note,42.0,0.6445029532816364,360.420380115509
3,Edit Note,6.0,0.09207185046880521,91.24428796768188
3,Move Note,0.0,0.0,0.0
3,Drag and Drop note,19.0,0.29156085981788316,194.66965913772583
3,Open commenting in note,9.0,0.1381077757032078,78.62021493911743
3,Attach File,0.0,0.0,0.0
3,Comment in Note,6.0,0.09207185046880521,32.234130859375
3,Invite and Add follower,5.0,0.07672654205733767,33.42125988006592
3,Invite User,0.0,0.0,0.0
3,Remove follower from note,0.0,0.0,0.0
3,Create new tag,3.0,0.04603592523440261,6.335223913192749
3,Add tag,10.0,0.15345308411467534,47.604594230651855
3,Change Tag Colour,3.0,0.04603592523440261,3.707834243774414
3,Change Note Colour,11.0,0.16879839252614287,82.72473096847534
4,Create Stage,1.0,0.015345308411467536,6.531577110290527
4,Delete Stage,0.0,0.0,0.0
4,Rename Stage,0.0,0.0,0.0
4,Search with Note,3.0,0.04603592523440261,24.14280676841736
4,Search with Tag,8.0,0.12276246729174028,51.64482498168945
4,Search with both Tag and Note,2.0,0.03069061682293507,8.662707090377808
4,Create Note,11.0,0.16879839252614287,13.74145007133484
4,Delete Note,4.0,0.06138123364587014,0.375798225402832
4,Open Note,45.0,0.6905388785160391,446.0809519290924
4,Edit Note,5.0,0.07672654205733767,36.72146081924439
4,Move Note,0.0,0.0,0.0
4,Drag and Drop note,21.0,0.3222514766408182,160.4548418521881
4,Open commenting in note,12.0,0.18414370093761043,86.91836905479431
4,Attach File,0.0,0.0,0.0
4,Comment in Note,7.0,0.10741715888027276,38.68902897834778
4,Invite and Add follower,6.0,0.09207185046880521,56.0751678943634
4,Invite User,0.0,0.0,0.0
4,Remove follower from note,0.0,0.0,0.0
4,Create new tag,2.0,0.03069061682293507,5.812939882278442
4,Add tag,9.0,0.1381077757032078,82.96987795829773
4,Change Tag Colour,3.0,0.04603592523440261,5.317946910858154
4,Change Note Colour,11.0,0.16879839252614287,44.97801756858826
5,Create Stage,1.0,0.015345308411467536,17.177223920822144
5,Delete Stage,0.0,0.0,0.0
5,Rename Stage,0.0,0.0,0.0
5,Search with Note,2.0,0.03069061682293507,12.758476972579956
5,Search with Tag,15.0,0.23017962617201304,74.86540865898132
5,Search with both Tag and Note,2.0,0.03069061682293507,6.564903974533081
5,Create Note,10.0,0.15345308411467534,0.959099531173706
5,Delete Note,6.0,0.09207185046880521,0.4519369602203369
5,Open Note,39.0,0.598467028047234,301.1480460166931
5,Edit Note,3.0,0.04603592523440261,31.77669596672058
5,Move Note,0.0,0.0,0.0
5,Drag and Drop note,23.0,0.3529420934637533,146.89162039756775
5,Open commenting in note,8.0,0.12276246729174028,46.07919406890869
5,Attach File,0.0,0.0,0.0
