timestamp                  ,actionName                    ,odoo-version ,userId ,ipAddr     ,id            ,stageId ,partnerId             ,text
2019-09-28 16:46:02.708196 ,Add tag                       ,          10 ,     2 ,172.19.0.1 ,"[3, 2]"      ,        ,                      ,
2019-09-28 16:46:15.095461 ,Search with Note              ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,bug
2019-09-28 16:46:19.132706 ,Search with Tag               ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,bug
2019-09-28 16:46:50.277013 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,37            ,        ,                      ,
2019-09-28 16:46:56.772309 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,36            ,        ,                      ,
2019-09-28 16:46:59.966005 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,36            ,        ,                      ,
2019-09-28 16:47:05.254887 ,Add tag                       ,          10 ,     2 ,172.19.0.1 ,[6]           ,        ,                      ,
2019-09-28 16:47:09.129943 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,39            ,        ,                      ,
2019-09-28 16:47:24.116220 ,Create new tag                ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,testing_123
2019-09-28 16:47:26.766713 ,Add tag                       ,          10 ,     2 ,172.19.0.1 ,"[5, 7, 15]"  ,        ,                      ,
2019-09-28 16:47:40.633305 ,Add tag                       ,          10 ,     2 ,172.19.0.1 ,"[6, 15]"     ,        ,                      ,
2019-09-28 16:47:45.389735 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,33            ,        ,                      ,
2019-09-28 16:47:53.433309 ,Add tag                       ,          10 ,     2 ,172.19.0.1 ,"[6, 13, 15]" ,        ,                      ,
2019-09-28 16:47:56.473777 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,37            ,        ,                      ,
2019-09-28 16:48:05.663690 ,Edit Note                     ,          10 ,     2 ,172.19.0.1 ,37            ,        ,                      ,<p>grocery shopping&nbsp;</p>
2019-09-28 16:48:12.484792 ,Search with Note              ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,testing
2019-09-28 16:48:21.337213 ,Search with Note              ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,testing_123
2019-09-28 16:48:27.464224 ,Search with Tag               ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,testing
2019-09-28 16:48:39.231844 ,Search with Tag               ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,testing_123
2019-09-28 16:48:43.196326 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,36            ,        ,                      ,
2019-09-28 16:48:46.691100 ,Search with Tag               ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,testing_123
2019-09-28 16:48:50.437847 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,33            ,        ,                      ,
2019-09-28 16:48:57.095964 ,Search with Tag               ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,testing_123
2019-09-28 16:49:09.587664 ,Delete Stage                  ,          10 ,     2 ,172.19.0.1 ,3             ,        ,                      ,
2019-09-28 16:49:27.872591 ,Rename Stage                  ,          10 ,     2 ,172.19.0.1 ,35            ,        ,                      ,Finishish
2019-09-28 16:49:27.945331 ,Search with Tag               ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,testing_123
2019-09-28 16:49:36.953020 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,36            ,        ,                      ,
2019-09-28 16:49:39.964266 ,Search with Tag               ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,testing_123
2019-09-28 16:49:45.949610 ,Search with Note              ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,note
2019-09-28 16:49:55.369377 ,Move Note                     ,          10 ,     2 ,172.19.0.1 ,32            ,      2 ,                      ,
2019-09-28 16:49:59.901378 ,Search with Note              ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,shopping
2019-09-28 16:50:08.352403 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,37            ,        ,                      ,
2019-09-28 16:50:13.495282 ,Search with Note              ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,shopping
2019-09-28 16:50:19.506625 ,Search with both Tag and Note ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,"shopping, testing"
2019-09-28 16:50:24.722144 ,Search with Note              ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,shopping
2019-09-28 16:50:30.445829 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,38            ,        ,                      ,
2019-09-28 16:50:42.711044 ,Add tag                       ,          10 ,     2 ,172.19.0.1 ,"[2, 3, 15]"  ,        ,                      ,
2019-09-28 16:50:46.206257 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,37            ,        ,                      ,
2019-09-28 16:50:50.506020 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,38            ,        ,                      ,
2019-09-28 16:50:55.086663 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,38            ,        ,                      ,
2019-09-28 16:51:04.819989 ,Edit Note                     ,          10 ,     2 ,172.19.0.1 ,38            ,        ,                      ,<p>car shopping</p>
2019-09-28 16:51:11.270341 ,Search with Note              ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,shopping
2019-09-28 16:51:19.393278 ,Search with both Tag and Note ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,"shopping, enhancement"
2019-09-28 16:51:23.067831 ,Search with Note              ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,shopping
2019-09-28 16:51:27.439838 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,36            ,        ,                      ,
2019-09-28 16:51:45.348704 ,Edit Note                     ,          10 ,     2 ,172.19.0.1 ,36            ,        ,                      ,<p>some shopping</p>
2019-09-28 16:51:52.331405 ,Search with Note              ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,shopping
2019-09-28 16:52:00.572658 ,Search with both Tag and Note ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,"shopping, enhancement"
2019-09-28 16:52:12.311895 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,38            ,        ,                      ,
2019-09-28 16:52:23.345452 ,Open commenting in note       ,          10 ,     2 ,172.19.0.1 ,38            ,        ,                      ,
2019-09-28 16:52:34.860127 ,Comment in Note               ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,delayed by a month<br>
2019-09-28 16:52:57.463153 ,Search with both Tag and Note ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,"shopping, enhancement"
2019-09-28 16:53:17.583062 ,Mention user in chat          ,          10 ,     2 ,172.19.0.1 ,9             ,        ,[9]                   ,"<a href=""http://localhost:8010/web#model=res.partner&amp;id=9"" class=""o_mail_redirect"" data-oe-id=""9"" data-oe-model=""res.partner"" target=""_blank"">@odoo10purplec</a> ? "
2019-09-28 16:53:30.957793 ,Reference channel in chat     ,          10 ,     2 ,172.19.0.1 ,9             ,        ,                      ,"<a href=""http://localhost:8010/web#model=mail.channel&amp;id=5"" class=""o_channel_redirect"" data-oe-id=""5"" data-oe-model=""mail.channel"" target=""_blank"">#patents</a>  1234"
2019-09-28 16:53:41.582329 ,Mention user in chat          ,          10 ,     2 ,172.19.0.1 ,9             ,        ,[3]                   ,"<a href=""http://localhost:8010/web#model=res.partner&amp;id=3"" class=""o_mail_redirect"" data-oe-id=""3"" data-oe-model=""res.partner"" target=""_blank"">@Administrator</a> mee"
2019-09-28 16:54:03.093181 ,Create Channel                ,          10 ,     2 ,172.19.0.1 ,              ,        ,                      ,test_phase
2019-09-28 16:54:17.268342 ,Invite user to channel        ,          10 ,     2 ,172.19.0.1 ,              ,        ,"[15, 9, 12]"         ,
