userId,actionName,consistency_frequency,consistency_timespent
1,Create Stage,0.0,0.0
1,Delete Stage,0.0,0.0
1,Rename Stage,0.0,0.0
1,Search with Note,0.0,0.0
1,Search with Tag,0.0,0.0
1,Search with both Tag and Note,0.0,0.0
1,Create Note,-0.0613812336458701,-0.7291219234466553
1,Delete Note,-0.0035773561234194,-0.1371440887451172
1,Open Note,0.003107651753369,99.99578142166138
1,Edit Note,0.0434944530287728,47.99980902671814
1,Move Note,0.0588397614402403,43.70661091804504
1,Drag and Drop note,-0.0460359252344026,-16.39874505996704
1,Open commenting in note,-0.0035773561234194,7.930943012237545
1,Attach File,0.0,0.0
1,Comment in Note,-0.0071547122468388,-7.796715021133423
1,Invite and Add follower,-0.0071547122468388,-8.825518131256104
1,Invite User,0.0,0.0
1,Remove follower from note,0.0,0.0
1,Create new tag,0.0046132400412092,10.896909952163696
1,Add tag,-0.0153453084114675,-18.90453815460205
1,Change Tag Colour,0.0081905961646286,90.36656308174132
1,Change Note Colour,-0.037845329069774,-37.85884213447571
2,Create Stage,0.0081905961646286,1.421996831893921
2,Delete Stage,0.0081905961646286,26.44088101387024
2,Rename Stage,0.0081905961646286,15.07517123222351
2,Search with Note,0.1105248106336418,66.4972231388092
2,Search with Tag,0.0445303369465625,58.69153404235839
2,Search with both Tag and Note,0.0470718091521922,40.74921798706055
2,Create Note,-0.0260773767817259,-8.900658845901493
2,Delete Note,-0.030690616822935,-7.428654909133911
2,Open Note,0.1949722444855578,91.71218752861024
2,Edit Note,0.0128038362058377,-2.140885591506958
2,Move Note,0.1176795228804807,85.08754301071167
2,Drag and Drop note,-0.030690616822935,-30.297852993011475
2,Open commenting in note,0.0199585484526767,13.157574176788328
2,Attach File,0.0,0.0
2,Comment in Note,-0.0035773561234194,-1.0360331535339355
2,Invite and Add follower,0.0081905961646286,12.91068696975708
2,Invite User,0.0,0.0
2,Remove follower from note,0.011767952288048,25.33299493789673
2,Create new tag,-0.0342679729463546,-30.022993087768555
2,Add tag,0.0869889060575457,63.52208876609802
2,Change Tag Colour,-0.0189226645348869,-31.42152094841004
2,Change Note Colour,-0.0485773974400324,-61.48740220069887
3,Create Stage,-0.0035773561234194,-14.81203484535218
3,Delete Stage,0.0,0.0
3,Rename Stage,0.0,0.0
3,Search with Note,-0.0107320683702583,2.328601837158203
3,Search with Tag,-0.132458651744209,-31.387173414230347
3,Search with both Tag and Note,-0.0189226645348869,-0.9250850677490234
3,Create Note,-0.0122376566580983,122.06799149513245
3,Delete Note,-0.0368094451519842,27.7509560585022
3,Open Note,-0.1267130526075212,-51.23088598251337
3,Edit Note,0.0256076724116754,19.690873146057115
3,Move Note,0.2824308549131538,156.8133933544159
3,Drag and Drop note,-0.2915608598178831,-194.66965913772583
3,Open commenting in note,-0.0675000619749194,18.049988508224487
3,Attach File,0.0,0.0
3,Comment in Note,-0.056767993604661,-14.4397611618042
3,Invite and Add follower,0.0174170762470469,48.23670697212219
3,Invite User,0.0,0.0
3,Remove follower from note,0.011767952288048,6.929500102996826
3,Create new tag,-0.0107320683702583,3.5116262435913086
3,Add tag,-0.0004697043700503,15.526537179946908
3,Change Tag Colour,0.0245717884938858,15.88193941116333
3,Change Note Colour,0.0077208917945782,-41.48875117301941
4,Create Stage,0.0081905961646286,25.700515747070312
4,Delete Stage,0.011767952288048,5.514264106750488
4,Rename Stage,0.011767952288048,9.752995014190674
4,Search with Note,-0.0107320683702583,-3.3173317909240687
4,Search with Tag,-0.075690658139548,-20.531272172927853
4,Search with both Tag and Note,-0.0189226645348869,-1.2944109439849854
4,Create Note,-0.0393509173576139,172.09245729446403
4,Delete Note,0.0092264800824183,38.86104464530945
4,Open Note,-0.349268262162645,-256.79975509643555
4,Edit Note,-0.0296547329051454,-11.108238935470588
4,Move Note,0.2706629026251057,325.1020932197571
4,Drag and Drop note,-0.3222514766408182,-160.4548418521881
4,Open commenting in note,-0.0546962257690815,43.013803482055664
4,Attach File,0.0,0.0
4,Comment in Note,-0.0368094451519842,26.95632481575012
4,Invite and Add follower,-0.0096961844524686,8.926298141479492
4,Invite User,0.0,0.0
4,Remove follower from note,0.0,0.0
4,Create new tag,-0.0071547122468388,-0.8949689865112305
4,Add tag,-0.0321962051107752,9.114121437072754
4,Change Tag Colour,-0.0107320683702583,2.5988869667053223
4,Change Note Colour,-0.0628868219337101,16.080520629882812
5,Create Stage,-0.0035773561234194,9.961589097976685
5,Delete Stage,0.0,0.0
5,Rename Stage,0.011767952288048,71.99710392951965
5,Search with Note,-0.0071547122468388,1.3763108253479004
5,Search with Tag,-0.0889641987154361,12.321084260940552
5,Search with both Tag and Note,-0.0189226645348869,-0.606367826461792
5,Create Note,-0.0357735612341945,187.5616545677185
5,Delete Note,-0.0214641367405167,70.44967103004456
5,Open Note,-0.2689643639818879,-96.77872943878182
5,Edit Note,-0.0107320683702583,-18.703081846237183
5,Move Note,0.2588949503370576,265.42999291419983
5,Drag and Drop note,-0.3529420934637533,-146.89162039756775
5,Open commenting in note,-0.0050829444112595,9.717289924621582
5,Attach File,0.0,0.0
5,Comment in Note,0.0056491239589989,-11.88265895843506
5,Invite and Add follower,-0.0214641367405167,11.15162658691407
5,Invite User,0.0,0.0
5,Remove follower from note,0.0,0.0
5,Create new tag,-0.0107320683702583,-1.6483800411224383
5,Add tag,-0.0321962051107752,41.21458506584168
5,Change Tag Colour,-0.0107320683702583,-0.9950740337371826
5,Change Note Colour,0.014875604041417,20.57898116111756
6,Create Stage,-0.0035773561234194,0.5205657482147217
6,Delete Stage,0.0,0.0
